nrec,title,author,date,url
11,Re: [爆卦] 真正的革命：5月出生6832人,blueman1025,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057004.A.6FF.html
3,[問卦] 現實是兒子靠爸霸凌 乾兒子詐騙1.7E免關,ptt987654321,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057059.A.DB0.html
6,[問卦] 用「支語」之後哪天可能會罰款嗎？,theskyofblue,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057061.A.AE7.html
3,Re: [爆卦] 真正的革命：5月出生6832人,chinaeatshit,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057098.A.A0D.html
3,[問卦] 沒人發現鯨魚根本就是魚嗎？,astrayzip,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057205.A.D48.html
7,[新聞] 紐西蘭經濟停滯4萬人移民 前總理也移居,bird09,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057235.A.C90.html
2,[問卦] 黃山料會接任競選團隊文膽嗎？,ll2NTU,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057248.A.538.html
4,[問卦] 國安基金進場不算圖利臺灣人嗎？,yji3vu4gj4,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057259.A.EA0.html
2,[新聞] 外資出走匯市爆第二大量 熱錢趁台股大漲,anna1203,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057277.A.3FF.html
6,[問卦] 6832*生育補助，這也不用多少錢吧？,dodomen,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057306.A.435.html
,[新聞] 快新聞／全國駕駛有錢領了！具備1資格「,ptt987654321,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057466.A.0F2.html
4,Re: [問卦] 你能說出台灣無人機知名的廠牌嗎？,a8802062,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057476.A.CA0.html
26,Re: [爆卦] 真正的革命：5月出生6832人,YU0121,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057542.A.E3F.html
8,[新聞] 鄭麗文稱「和統公投很困難」張惇涵：維,tan608287,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057673.A.7C4.html
2,[問卦] 前棒球版版主參選版主被噓爆？,xz4979265,6/10,https://www.ptt.cc/bbs/Gossiping/M.1781057683.A.189.html
